ean;locale;title;description;category;colour;manufacturer;picture;material;size
4000000000031;de-DE;Sony portable Monitor;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Silber;Sony;https://example.com/products/0031.jpg;Aluminium;compact
4000000000032;de-DE;JBL durable Tablet Bluetooth;High-quality electronics product with practical features and a clean user experience.;Electronics;Weiß;JBL;https://example.com/products/0032.jpg;Kunststoff;large
4000000000033;de-DE;Dyson smart TV;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Grau;Dyson;https://example.com/products/0033.jpg;Aluminium;compact
4000000000034;de-DE;Anker Tablet with 4K;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Blau;Anker;https://example.com/products/0034.jpg;Aluminium;compact
4000000000035;de-DE;Lenovo energy-saving TV;Smart device with reliable performance, modern connectivity, and everyday convenience. Available in blau with glas details and energy-saving features.;Electronics;Blau;Lenovo;https://example.com/products/0035.jpg;Glas;standard
4000000000036;de-DE;Dyson durable Vacuum wireless;High-quality electronics product with practical features and a clean user experience.;Electronics;Schwarz;Dyson;https://example.com/products/0036.jpg;Kunststoff;large
4000000000037;de-DE;Shelf for kitchen and living room organization;Reliable household product designed for convenience, durability, and simple use.;Home;Beige;Philips;https://example.com/products/0037.jpg;Kunststoff;large
4000000000038;de-DE;Laundry Basket for kitchen and living room organization;Useful home accessory with a straightforward design and versatile application.;Home;Weiß;IKEA;https://example.com/products/0038.jpg;Kunststoff;small
4000000000039;de-DE;stylish Floor Lamp for everyday home use;Reliable household product designed for convenience, durability, and simple use.;Home;Weiß;IKEA;https://example.com/products/0039.jpg;Holz;large
4000000000040;de-DE;Vileda Bookcase with modern styling;Reliable household product designed for convenience, durability, and simple use.;Home;Weiß;Vileda;https://example.com/products/0040.jpg;Kunststoff;medium
4000000000041;de-DE;minimal Floor Lamp for everyday home use;Useful home accessory with a straightforward design and versatile application.;Home;Braun;Home&More;https://example.com/products/0041.jpg;Metall;small
4000000000042;de-DE;Philips Floor Lamp in a practical design;Reliable household product designed for convenience, durability, and simple use. Available in braun with metall details and multi-purpose features.;Home;Braun;Philips;https://example.com/products/0042.jpg;Metall;medium
4000000000043;de-DE;functional Laundry Basket for everyday home use;Reliable household product designed for convenience, durability, and simple use.;Home;Beige;Vileda;https://example.com/products/0043.jpg;Baumwolle;medium
4000000000044;de-DE;Philips Kitchen Scale with practical multi-purpose;Practical home item for organizing, cleaning, or furnishing daily spaces.;Home;Grau;Philips;https://example.com/products/0044.jpg;Holz;medium
4000000000045;de-DE;Philips Storage Box with practical easy-clean;Reliable household product designed for convenience, durability, and simple use.;Home;Beige;Philips;https://example.com/products/0045.jpg;Kunststoff;small
4000000000046;de-DE;Home&More Dinnerware Set in a practical design;Useful home accessory with a straightforward design and versatile application.;Home;Schwarz;Home&More;https://example.com/products/0046.jpg;Holz;medium
4000000000047;de-DE;Home&More Storage Box with practical multi-purpose;Useful home accessory with a straightforward design and versatile application.;Home;Beige;Home&More;https://example.com/products/0047.jpg;Kunststoff;medium
4000000000048;de-DE;minimal Coffee Mug Set for everyday home use;Practical home item for organizing, cleaning, or furnishing daily spaces.;Home;Grau;IKEA;https://example.com/products/0048.jpg;Kunststoff;large
4000000000049;de-DE;Leifheit Laundry Basket with practical adjustable;Reliable household product designed for convenience, durability, and simple use. Available in braun with metall details and adjustable features.;Home;Braun;Leifheit;https://example.com/products/0049.jpg;Metall;large
4000000000050;de-DE;Shelf for kitchen and living room organization;Useful home accessory with a straightforward design and versatile application.;Home;Braun;Vileda;https://example.com/products/0050.jpg;Kunststoff;medium
4000000000051;de-DE;functional Kitchen Scale for everyday home use;Practical home item for organizing, cleaning, or furnishing daily spaces.;Home;Weiß;Vileda;https://example.com/products/0051.jpg;Kunststoff;large
4000000000052;de-DE;Shelf for kitchen and living room organization;Useful home accessory with a straightforward design and versatile application.;Home;Weiß;Vileda;https://example.com/products/0052.jpg;Holz;small
4000000000053;de-DE;Home&More Coffee Mug Set for everyday use;Reliable household product designed for convenience, durability, and simple use.;Home;Beige;Home&More;https://example.com/products/0053.jpg;Baumwolle;medium
4000000000054;de-DE;Dinnerware Set for kitchen and living room organization;Useful home accessory with a straightforward design and versatile application.;Home;Beige;Vileda;https://example.com/products/0054.jpg;Baumwolle;small
4000000000055;de-DE;Coffee Mug Set for kitchen and living room organization;Reliable household product designed for convenience, durability, and simple use.;Home;Schwarz;Home&More;https://example.com/products/0055.jpg;Kunststoff;medium
4000000000056;de-DE;Vileda Dinnerware Set with practical space-saving;Practical home item for organizing, cleaning, or furnishing daily spaces. Available in grau with baumwolle details and space-saving features.;Home;Grau;Vileda;https://example.com/products/0056.jpg;Baumwolle;large
4000000000057;de-DE;Storage Box for kitchen and living room organization;Useful home accessory with a straightforward design and versatile application.;Home;Grau;Philips;https://example.com/products/0057.jpg;Kunststoff;large
4000000000058;de-DE;Coffee Mug Set for kitchen and living room organization;Practical home item for organizing, cleaning, or furnishing daily spaces.;Home;Beige;Vileda;https://example.com/products/0058.jpg;Holz;medium
4000000000059;de-DE;Vileda Bookcase in a practical design;Reliable household product designed for convenience, durability, and simple use.;Home;Braun;Vileda;https://example.com/products/0059.jpg;Baumwolle;large
4000000000060;de-DE;Dinnerware Set for kitchen and living room organization;Reliable household product designed for convenience, durability, and simple use.;Home;Braun;Philips;https://example.com/products/0060.jpg;Baumwolle;large
4000000000061;de-DE;functional Coffee Mug Set for everyday home use;Useful home accessory with a straightforward design and versatile application.;Home;Braun;IKEA;https://example.com/products/0061.jpg;Kunststoff;large
4000000000062;de-DE;versatile Bookcase for everyday home use;Reliable household product designed for convenience, durability, and simple use.;Home;Weiß;Home&More;https://example.com/products/0062.jpg;Baumwolle;large
4000000000063;de-DE;Vileda Kitchen Scale with practical foldable;Reliable household product designed for convenience, durability, and simple use. Available in weiß with kunststoff details and foldable features.;Home;Weiß;Vileda;https://example.com/products/0063.jpg;Kunststoff;medium
4000000000064;de-DE;Philips Shelf with reliable performance;Reliable household product designed for convenience, durability, and simple use.;Home;Braun;Philips;https://example.com/products/0064.jpg;Kunststoff;small
4000000000065;de-DE;stylish Dinnerware Set for everyday home use;Practical home item for organizing, cleaning, or furnishing daily spaces.;Home;Weiß;Vileda;https://example.com/products/0065.jpg;Holz;small
4000000000066;de-DE;Vileda Dinnerware Set with practical adjustable;Practical home item for organizing, cleaning, or furnishing daily spaces.;Home;Braun;Vileda;https://example.com/products/0066.jpg;Holz;large
4000000000067;de-DE;T-Shirt in classic Weiß style;Fashion basic with a modern look and practical comfort for everyday outfits.;Clothing;Weiß;Puma;https://example.com/products/0067.jpg;Wolle;S
4000000000068;de-DE;H&M Sweater for everyday use;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Schwarz;H&M;https://example.com/products/0068.jpg;Polyester;S
4000000000069;de-DE;Only Dress in a practical design;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grau;Only;https://example.com/products/0069.jpg;Wolle;S
4000000000070;de-DE;Tom Tailor Shirt with regular fit finish;Fashion basic with a modern look and practical comfort for everyday outfits. Available in grau with denim details and regular fit features.;Clothing;Grau;Tom Tailor;https://example.com/products/0070.jpg;Denim;M
4000000000071;de-DE;Dress in classic Rot style;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Rot;Levi's;https://example.com/products/0071.jpg;Denim;L
4000000000072;de-DE;T-Shirt in classic Grün style;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Grün;Levi's;https://example.com/products/0072.jpg;Denim;L
4000000000073;de-DE;casual Sweater for everyday wear;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Blau;Tom Tailor;https://example.com/products/0073.jpg;Wolle;L
4000000000074;de-DE;Jeans in classic Grau style;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Grau;H&M;https://example.com/products/0074.jpg;Denim;XL
4000000000075;de-DE;Puma Jeans with breathable finish;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Blau;Puma;https://example.com/products/0075.jpg;Polyester;XL
4000000000076;de-DE;cozy Leggings for everyday wear;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Rot;Tom Tailor;https://example.com/products/0076.jpg;Wolle;L
4000000000077;de-DE;Thermal Hoodie Set;comfortable layer for cold-weather wear Available in blau with baumwolle details and regular fit features.;Clothing;Blau;H&M;https://example.com/products/0077.jpg;Baumwolle;M
4000000000078;de-DE;Zara Jeans for home and travel;Fashion basic with a modern look and practical comfort for everyday outfits.;Clothing;Schwarz;Zara;https://example.com/products/0078.jpg;Polyester;L
4000000000079;de-DE;Nike Sweater in a practical design;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Blau;Nike;https://example.com/products/0079.jpg;Baumwolle;S
4000000000080;de-DE;Dress in classic Rot style;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Rot;Zara;https://example.com/products/0080.jpg;Denim;XL
4000000000081;de-DE;Puma T-Shirt with regular fit finish;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Rot;Puma;https://example.com/products/0081.jpg;Denim;S
4000000000082;de-DE;Shirt in classic Schwarz style;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Schwarz;H&M;https://example.com/products/0082.jpg;Denim;M
4000000000083;de-DE;elegant Jeans for everyday wear;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Grün;Adidas;https://example.com/products/0083.jpg;Baumwolle;M
4000000000084;de-DE;T-Shirt in classic Grün style;Soft, wearable clothing with a simple fit and versatile use across seasons. Available in grün with baumwolle details and stretch features.;Clothing;Grün;Nike;https://example.com/products/0084.jpg;Baumwolle;M
4000000000085;de-DE;Adidas Leggings with slim fit finish;Fashion basic with a modern look and practical comfort for everyday outfits.;Clothing;Weiß;Adidas;https://example.com/products/0085.jpg;Wolle;L
4000000000086;de-DE;H&M Jacket for everyday use;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Rot;H&M;https://example.com/products/0086.jpg;Baumwolle;M
4000000000087;de-DE;Hoodie in classic Grün style;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grün;Zara;https://example.com/products/0087.jpg;Wolle;XL
4000000000088;de-DE;Levi's Shirt with oversized finish;Comfortable apparel item made for daily wear, layering, and casual styling.;Clothing;Rot;Levi's;https://example.com/products/0088.jpg;Baumwolle;S
4000000000089;de-DE;T-Shirt in classic Grau style;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grau;H&M;https://example.com/products/0089.jpg;Baumwolle;L
4000000000090;de-DE;Nike Hoodie with stretch finish;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grün;Nike;https://example.com/products/0090.jpg;Denim;XL
4000000000091;de-DE;Puma Leggings in a practical design;Soft, wearable clothing with a simple fit and versatile use across seasons. Available in weiß with wolle details and breathable features.;Clothing;Weiß;Puma;https://example.com/products/0091.jpg;Wolle;XL
4000000000092;de-DE;Hoodie in classic Blau style;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Blau;Puma;https://example.com/products/0092.jpg;Wolle;L
4000000000093;de-DE;classic Leggings for everyday wear;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Weiß;Adidas;https://example.com/products/0093.jpg;Wolle;XL
4000000000094;de-DE;soft T-Shirt for everyday wear;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grau;Levi's;https://example.com/products/0094.jpg;Denim;S
4000000000095;de-DE;modern Jeans for everyday wear;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grün;Adidas;https://example.com/products/0095.jpg;Denim;S
4000000000096;de-DE;classic Leggings for everyday wear;Soft, wearable clothing with a simple fit and versatile use across seasons.;Clothing;Grün;Zara;https://example.com/products/0096.jpg;Wolle;XL
4000000000097;de-DE;Adidas Trail Shoes with water-repellent support;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Rot;Adidas;https://example.com/products/0097.jpg;Leder;40
4000000000098;de-DE;Puma Walking Shoes with grippy support;Practical athletic shoe with a clean design and reliable grip. Available in grau with synthetik details and grippy features.;Shoes;Grau;Puma;https://example.com/products/0098.jpg;Synthetik;41
4000000000099;de-DE;Trail Shoes for running and training;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Rot;Salomon;https://example.com/products/0099.jpg;Synthetik;43
4000000000100;de-DE;Walking Shoes for running and training;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Grau;Nike;https://example.com/products/0100.jpg;Synthetik;43
4000000000101;de-DE;Adidas Walking Shoes in a practical design;Practical athletic shoe with a clean design and reliable grip.;Shoes;Rot;Adidas;https://example.com/products/0101.jpg;Textil;40
4000000000102;de-DE;Walking Shoes for running and training;Practical athletic shoe with a clean design and reliable grip.;Shoes;Blau;Adidas;https://example.com/products/0102.jpg;Leder;40
4000000000103;de-DE;Nike Slip-Ons with reliable performance;Practical athletic shoe with a clean design and reliable grip.;Shoes;Grau;Nike;https://example.com/products/0103.jpg;Synthetik;42
4000000000104;de-DE;Nike Slip-Ons for everyday use;Supportive shoe with a lightweight feel and durable construction.;Shoes;Weiß;Nike;https://example.com/products/0104.jpg;Textil;41
4000000000105;de-DE;Adidas Trail Shoes with cushioned support;Supportive shoe with a lightweight feel and durable construction. Available in grau with mesh details and cushioned features.;Shoes;Grau;Adidas;https://example.com/products/0105.jpg;Mesh;40
4000000000106;de-DE;Adidas Slip-Ons with modern styling;Practical athletic shoe with a clean design and reliable grip.;Shoes;Weiß;Adidas;https://example.com/products/0106.jpg;Synthetik;44
4000000000107;de-DE;Salomon Training Shoes with lightweight support;Supportive shoe with a lightweight feel and durable construction.;Shoes;Blau;Salomon;https://example.com/products/0107.jpg;Leder;43
4000000000108;de-DE;Slip-Ons for running and training;Supportive shoe with a lightweight feel and durable construction.;Shoes;Schwarz;Puma;https://example.com/products/0108.jpg;Synthetik;42
4000000000109;de-DE;Walking Shoes for running and training;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Grau;New Balance;https://example.com/products/0109.jpg;Synthetik;42
4000000000110;de-DE;Trail Shoes for running and training;Supportive shoe with a lightweight feel and durable construction.;Shoes;Blau;Adidas;https://example.com/products/0110.jpg;Textil;44
4000000000111;de-DE;durable Running Shoes for daily comfort;Practical athletic shoe with a clean design and reliable grip.;Shoes;Schwarz;New Balance;https://example.com/products/0111.jpg;Synthetik;42
4000000000112;de-DE;Puma Trail Shoes with water-repellent support;Practical athletic shoe with a clean design and reliable grip. Available in weiß with mesh details and water-repellent features.;Shoes;Weiß;Puma;https://example.com/products/0112.jpg;Mesh;40
4000000000113;de-DE;comfortable Slip-Ons for daily comfort;Practical athletic shoe with a clean design and reliable grip.;Shoes;Schwarz;Adidas;https://example.com/products/0113.jpg;Textil;42
4000000000114;de-DE;Puma Trail Shoes for home and travel;Supportive shoe with a lightweight feel and durable construction.;Shoes;Rot;Puma;https://example.com/products/0114.jpg;Textil;41
4000000000115;de-DE;Nike Training Shoes in a practical design;Supportive shoe with a lightweight feel and durable construction.;Shoes;Weiß;Nike;https://example.com/products/0115.jpg;Leder;43
4000000000116;de-DE;Slip-Ons for running and training;Practical athletic shoe with a clean design and reliable grip.;Shoes;Schwarz;New Balance;https://example.com/products/0116.jpg;Synthetik;42
4000000000117;de-DE;flexible Sneakers for daily comfort;Practical athletic shoe with a clean design and reliable grip.;Shoes;Schwarz;Puma;https://example.com/products/0117.jpg;Leder;43
4000000000118;de-DE;Nike Sneakers with lightweight support;Supportive shoe with a lightweight feel and durable construction.;Shoes;Blau;Nike;https://example.com/products/0118.jpg;Textil;43
4000000000119;de-DE;Running Shoes for running and training;Practical athletic shoe with a clean design and reliable grip. Available in schwarz with leder details and water-repellent features.;Shoes;Schwarz;Nike;https://example.com/products/0119.jpg;Leder;44
4000000000120;de-DE;Reebok Walking Shoes for home and travel;Practical athletic shoe with a clean design and reliable grip.;Shoes;Weiß;Reebok;https://example.com/products/0120.jpg;Synthetik;40
4000000000121;de-DE;Puma Running Shoes with breathable support;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Weiß;Puma;https://example.com/products/0121.jpg;Synthetik;43
4000000000122;de-DE;Puma Sneakers with reliable performance;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Weiß;Puma;https://example.com/products/0122.jpg;Mesh;43
4000000000123;de-DE;sporty Training Shoes for daily comfort;Practical athletic shoe with a clean design and reliable grip.;Shoes;Grau;Salomon;https://example.com/products/0123.jpg;Leder;41
4000000000124;de-DE;durable Training Shoes for daily comfort;Practical athletic shoe with a clean design and reliable grip.;Shoes;Weiß;Adidas;https://example.com/products/0124.jpg;Textil;41
4000000000125;de-DE;Puma Running Shoes with cushioned support;Comfortable footwear built for walking, training, or everyday wear.;Shoes;Weiß;Puma;https://example.com/products/0125.jpg;Mesh;40
4000000000126;de-DE;Adidas Slip-Ons for everyday use;Supportive shoe with a lightweight feel and durable construction. Available in grau with mesh details and water-repellent features.;Shoes;Grau;Adidas;https://example.com/products/0126.jpg;Mesh;41
4000000000127;de-DE;Garnier Shampoo with modern styling;Everyday personal care formula with a clean, modern presentation.;Beauty;Gold;Garnier;https://example.com/products/0127.jpg;Papier;200 ml
4000000000128;de-DE;Face Cream for radiant skin and comfort;Everyday personal care formula with a clean, modern presentation.;Beauty;Gold;Weleda;https://example.com/products/0128.jpg;Glas;200 ml
4000000000129;de-DE;rich Shampoo for daily skincare;Cosmetic and personal care item for grooming, hydration, or daily routine use.;Beauty;Transparent;L'Oréal;https://example.com/products/0129.jpg;Papier;100 ml
4000000000130;de-DE;Nivea Shower Gel with repairing formula;Gentle beauty product designed for consistent results and easy application.;Beauty;Gold;Nivea;https://example.com/products/0130.jpg;Papier;200 ml
4000000000131;de-DE;calming Shampoo for daily skincare;Gentle beauty product designed for consistent results and easy application.;Beauty;Transparent;Clinique;https://example.com/products/0131.jpg;Kunststoff;200 ml
4000000000132;de-DE;Garnier Mascara with repairing formula;Gentle beauty product designed for consistent results and easy application.;Beauty;Rosa;Garnier;https://example.com/products/0132.jpg;Glas;100 ml
4000000000133;de-DE;CeraVe Mascara for everyday use;Gentle beauty product designed for consistent results and easy application. Available in gold with glas details and hydrating features.;Beauty;Gold;CeraVe;https://example.com/products/0133.jpg;Glas;50 ml
4000000000134;de-DE;L'Oréal Face Cream with gentle formula;Everyday personal care formula with a clean, modern presentation.;Beauty;Gold;L'Oréal;https://example.com/products/0134.jpg;Kunststoff;200 ml
4000000000135;de-DE;L'Oréal Hand Cream with long-lasting formula;Gentle beauty product designed for consistent results and easy application.;Beauty;Transparent;L'Oréal;https://example.com/products/0135.jpg;Glas;200 ml
4000000000136;de-DE;L'Oréal Mascara with fragrance-free formula;Cosmetic and personal care item for grooming, hydration, or daily routine use.;Beauty;Rosa;L'Oréal;https://example.com/products/0136.jpg;Kunststoff;200 ml
4000000000137;de-DE;Weleda Hand Cream with reliable performance;Everyday personal care formula with a clean, modern presentation.;Beauty;Gold;Weleda;https://example.com/products/0137.jpg;Papier;50 ml
4000000000138;de-DE;CeraVe Lip Balm with long-lasting formula;Cosmetic and personal care item for grooming, hydration, or daily routine use.;Beauty;Gold;CeraVe;https://example.com/products/0138.jpg;Kunststoff;50 ml
4000000000139;de-DE;Nivea Hand Cream for everyday use;Everyday personal care formula with a clean, modern presentation.;Beauty;Rosa;Nivea;https://example.com/products/0139.jpg;Papier;200 ml
4000000000140;de-DE;Clinique Mascara with nourishing formula;Everyday personal care formula with a clean, modern presentation. Available in rosa with glas details and nourishing features.;Beauty;Rosa;Clinique;https://example.com/products/0140.jpg;Glas;100 ml
4000000000141;de-DE;Balea Body Lotion with gentle formula;Gentle beauty product designed for consistent results and easy application.;Beauty;Weiß;Balea;https://example.com/products/0141.jpg;Kunststoff;50 ml
4000000000142;de-DE;CeraVe Mascara with modern styling;Gentle beauty product designed for consistent results and easy application.;Beauty;Transparent;CeraVe;https://example.com/products/0142.jpg;Glas;200 ml
4000000000143;de-DE;Spa Gift Set;self-care set with mixed personal care items;Beauty;Weiß;Garnier;https://example.com/products/0143.jpg;Glas;200 ml
4000000000144;de-DE;Clinique Lip Balm with fragrance-free formula;Gentle beauty product designed for consistent results and easy application.;Beauty;Weiß;Clinique;https://example.com/products/0144.jpg;Kunststoff;50 ml
4000000000145;de-DE;gentle Hand Cream for daily skincare;Everyday personal care formula with a clean, modern presentation.;Beauty;Weiß;L'Oréal;https://example.com/products/0145.jpg;Glas;200 ml
4000000000146;de-DE;Clinique Face Cream in a practical design;Gentle beauty product designed for consistent results and easy application.;Beauty;Gold;Clinique;https://example.com/products/0146.jpg;Kunststoff;100 ml
4000000000147;de-DE;Clinique Hand Cream in a practical design;Gentle beauty product designed for consistent results and easy application. Available in transparent with papier details and nourishing features.;Beauty;Transparent;Clinique;https://example.com/products/0147.jpg;Papier;100 ml
4000000000148;de-DE;Shampoo for radiant skin and comfort;Everyday personal care formula with a clean, modern presentation.;Beauty;Transparent;Nivea;https://example.com/products/0148.jpg;Papier;100 ml
4000000000149;de-DE;Garnier Shower Gel with modern styling;Everyday personal care formula with a clean, modern presentation.;Beauty;Weiß;Garnier;https://example.com/products/0149.jpg;Glas;100 ml
4000000000150;de-DE;rich Serum for daily skincare;Cosmetic and personal care item for grooming, hydration, or daily routine use.;Beauty;Weiß;CeraVe;https://example.com/products/0150.jpg;Papier;200 ml
4000000000151;de-DE;Water Bottle for active performance and fitness;Sport product with performance-focused materials and a lightweight feel.;Sports;Rot;Adidas;https://example.com/products/0151.jpg;Aluminium;M
4000000000152;de-DE;Cycling Jersey for active performance and fitness;Athletic gear designed for workouts, training, and competitive use.;Sports;Gelb;Garmin;https://example.com/products/0152.jpg;Mesh;One Size
4000000000153;de-DE;Puma Running Racket with breathable design;Sport product with performance-focused materials and a lightweight feel.;Sports;Grün;Puma;https://example.com/products/0153.jpg;Polyester;L
4000000000154;de-DE;Dumbbell Set for active performance and fitness;Sport product with performance-focused materials and a lightweight feel. Available in schwarz with carbon details and lightweight features.;Sports;Schwarz;Puma;https://example.com/products/0154.jpg;Carbon;L
4000000000155;de-DE;focused Fitness Tracker for training and competition;Athletic gear designed for workouts, training, and competitive use.;Sports;Schwarz;Yonex;https://example.com/products/0155.jpg;Mesh;One Size
4000000000156;de-DE;Water Bottle for active performance and fitness;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Schwarz;Puma;https://example.com/products/0156.jpg;Polyester;S
